sr_no,date_dd/mm/yyyy,startup_name,industry_vertical,subvertical,city_location,investors_name,investmentntype,amount_in_usd,remarks,year,funding_category
362,2018-09-02,Medtel,Healthcare,Virtual health clinics,Bhubaneswar,British and Indian Governments,Private Equity,4200000.0,,2018.0,Medium
363,2018-09-02,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,4200000.0,,2018.0,Medium
364,2018-09-02,Webengage,Technology,Marketing Cloud for consumer businesses,Mumbai,Social Capital,Private Equity,4200000.0,,2018.0,Medium
365,2018-12-02,Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,4200000.0,,2018.0,Medium
366,2018-12-02,Wydr,Consumer Internet,B2B Marketplace,Gurugram,"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners",Private Equity,4200000.0,,2018.0,Medium
367,2018-12-02,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,4200000.0,,2018.0,Medium
368,,Holachef,Food And Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,4200000.0,,,Medium
369,,Awaaz De,Technology,Mobile Solutions for Social Impact,Ahmedabad,Tribe Impact Capital LLP,Seed / Angle Funding,4200000.0,,,Medium
370,,Imax Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,4200000.0,,,Medium
371,,Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,4200000.0,,,Medium
372,,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,4200000.0,,,Medium
373,,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,4200000.0,,,Medium
374,,Moneyonmobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,4200000.0,,,Medium
375,,Petsutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,4200000.0,,,Medium
376,,Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,4200000.0,,,Medium
377,,Happay,Finance,Expense Management,Bengaluru,Sequoia and Jerry Yang,Seed / Angel Funding,4200000.0,,,Medium
378,,Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,4200000.0,,,Medium
379,,Ayefinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,4200000.0,,,Medium
380,,Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Funding,4200000.0,,,Medium
381,,Udaan,E-Commerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri Milner,Private Equity,4200000.0,,,Medium
382,,Capillary,It,SaaS,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,4200000.0,,,Medium
383,,The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,4200000.0,,,Medium
384,,Highradius,Technology,Cloud-based Software,Hyderabad,"PNC, Citi Ventures",Private Equity,4200000.0,,,Medium
385,,Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,4200000.0,,,Medium
386,,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,4200000.0,,,Medium
387,,Lollypop,Technology,Digital Design,Bengaluru,Dr Devi Shetty,Seed / Angel Funding,4200000.0,,,Medium
388,,Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,4200000.0,,,Medium
389,,Gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,4200000.0,,,Medium
390,,Credy,It,SaaS,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,4200000.0,,,Medium
391,,Predible Health,Healthcare,Cancer radiology,Bengaluru,Unitus Seed Fund,Seed/Angel Funding,4200000.0,,,Medium
392,2018-02-01,Clevertap,Technology,Mobile App Analytics,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners",Angel / Seed Funding,4200000.0,,2018.0,Medium
393,2018-04-01,Earlysalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,4200000.0,,2018.0,Medium
394,2018-05-01,Wotu,E-Commerce,Food and Beverages,Bengaluru,"Claris Capital, Mumbai Angels Network",Angel / Seed Funding,4200000.0,,2018.0,Medium
395,2018-08-01,Daaki,E-Commerce,Sports Nutrition Supplement etailer,Bengaluru,Rohan Agila,Angel / Seed Funding,4200000.0,,2018.0,Medium
396,2018-09-01,Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,4200000.0,,2018.0,Medium
397,2018-09-01,Kinsane Entertainment Inc,Entertainment,Digital Entertainment for Children,Mumbai,Undisclosed,Seed/Angel Funding,4200000.0,,2018.0,Medium
398,2018-10-01,Tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,4200000.0,,2018.0,Medium
399,2018-10-01,Appario Retail Pvt Ltd.,E-Commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,4200000.0,,2018.0,Medium
400,2018-10-01,Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,4200000.0,,2018.0,Medium
401,2018-10-01,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,4200000.0,,2018.0,Medium
402,2018-12-01,Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,4200000.0,,2018.0,Medium
403,2018-12-01,Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,4200000.0,,2018.0,Medium
404,,Streak,Technology,Algorithmic Trading,Bengaluru,"Indian fintech fund, Rainmatter",Angel / Seed Funding,4200000.0,,,Medium
405,,Pi Ventures,Finance,Venture Capital,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,4200000.0,,,Medium
406,,Newgen Software,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,4200000.0,,,Medium
407,,Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,4200000.0,,,Medium
408,,Sharechat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,4200000.0,,,Medium
409,,Paperflite,Technology,IT,Chennai,The Chennai Angels,Angel / Seed Funding,4200000.0,,,Medium
410,,Hungerbox,Consumer Internet,Food and Beverages,Bangalore,Lionrock Capital,Private Equity,4200000.0,,,Medium
411,,Skillate,Technology,Artificial Intellegence,Bengaluru,"Incubate Fund India, Anuj Agrawal",Private Equity,4200000.0,,,Medium
412,,Optacredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,4200000.0,,,Medium
413,,Aeon Learning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,4200000.0,,,Medium
414,,Milkbasket,E-Commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,4200000.0,,,Medium
415,,Neogrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,4200000.0,,,Medium
416,,Rao Iit Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,4200000.0,,,Medium
417,,Aye Finance,Finance,Online Lending,Gurugram,IFMR Capital,Term Loan,4200000.0,,,Medium
418,,Glassic,Ecommerce,Eyewear,Bengaluru,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,4200000.0,,,Medium
419,,Greyatom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,4200000.0,,,Medium
420,,Axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,RNT Capital,Private Equity,4200000.0,,,Medium
421,,Ekincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,4200000.0,,,Medium
422,,The Wedding Brigade,Consumer Internet,Online Services,Mumbai,Blume Ventures,Private Equity,4200000.0,,,Medium
423,,Peesafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,4200000.0,,,Medium
424,,Browserstack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,4200000.0,,,Medium
425,,Scapic,Technology,Virtual Reality,Bengaluru,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,4200000.0,,,Medium
426,,Moneyonmobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,4200000.0,,,Medium
427,,Curefit,Healthcare,Fitness,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,4200000.0,,,Medium
428,,Inurture,Technology,Education Solutions,Bengaluru,Ventureast,Private Equity,4200000.0,,,Medium
429,2017-01-12,Strata Enviro,Technology,IoT based air pollution controller,Mumbai,Scale Minds,Private Equity,4200000.0,,2017.0,Medium
430,2017-05-12,Dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,4200000.0,,2017.0,Medium
431,2017-05-12,Tata Housing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,4200000.0,,2017.0,Medium
432,2017-05-12,Handytrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,4200000.0,,2017.0,Medium
433,2017-05-12,Mobycy,Technology,Bicycle sharing Platform,Gurgaon,Undisclosed Investors,Seed/Angel Funding,4200000.0,,2017.0,Medium
434,2017-06-12,Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,4200000.0,,2017.0,Medium
435,2017-06-12,Fintobox,Technology,Child Learning & Development Platform,Chennai,Lightbox,Private Equity,4200000.0,,2017.0,Medium
436,2017-07-12,Mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,4200000.0,,2017.0,Medium
437,2017-07-12,The Label Life,E-Commerce,Home Decor and Online Fashion Portal,Mumbai,Kalpvriksh,Private Equity,4200000.0,,2017.0,Medium
438,2017-07-12,Cygnus Hospitals,Healthcare,Super speciality Hospitals,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,4200000.0,,2017.0,Medium
439,2017-07-12,Eshakti,Ecommerce,"""Women\\'s Fashion Clothing Online Platform""",Chennai,IDG Ventures,Debt Funding,4200000.0,,2017.0,Medium
440,2017-08-12,Inshorts,Technology,Mobile News Curation App,Noida,Tiger Global,Private Equity,4200000.0,,2017.0,Medium
441,2017-11-12,Vahdam Tea,E-Commerce,Online Platform Selling Indian Tea Globally,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,4200000.0,,2017.0,Medium
442,2017-11-12,Logic Roots,Technology,Educational Platform to Learn Mathematics,Mumbai,Village Capital,Seed/Angel Funding,4200000.0,,2017.0,Medium
443,2017-11-12,Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Bengaluru,Village Capital,Seed/Angel Funding,4200000.0,,2017.0,Medium
444,2017-11-12,Furlenco,Technology,Furniture Rental Platform,Bengaluru,Aamir Khan,Debt Funding,4200000.0,,2017.0,Medium
445,2017-12-12,I Can Stay,Technology,Hotel Aggregator Platform,Delhi,HT Media,Private Equity,4200000.0,,2017.0,Medium
446,2017-12-12,Fracktal Works,Technology,Platform based on 3D printing and Digital Manufacturing,Bengaluru,Hyderabad Angels,Seed/Angel Funding,4200000.0,,2017.0,Medium
447,2017-12-12,Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,4200000.0,,2017.0,Medium
448,2017-12-12,Shopholix,E-Commerce,Fashion and Lifestyle Coupon Platform,Gurgaon,Munesh Khanna,Seed/Angel Funding,4200000.0,,2017.0,Medium
449,,Mindtickle,Technology,Gamification Platform to train Sales People,Pune,Canaan Partners,Private Equity,4200000.0,,,Medium
450,,Nazara Technologies,Technology,Mobile Games Development Firm,Mumbai,Rakesh Jhunjhunwala,Private Equity,4200000.0,,,Medium
451,,Docsapp,Technology,Mobile Application for Doctor Consultation,Bengaluru,Bessemer Venture Partners,Private Equity,4200000.0,,,Medium
452,,Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,4200000.0,,,Medium
453,,Tea Box,E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,Bengaluru,RB Investments,Private Equity,4200000.0,,,Medium
454,,Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bengaluru,Matrix Partners,Private Equity,4200000.0,,,Medium
455,,Curofy,Technology,Mobile App for Network of Doctors,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,4200000.0,,,Medium
456,,Homelane,E-Commerce,Online Furniture Marketplace,Bengaluru,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,4200000.0,,,Medium
457,,Wedosky,Technology,Provides Business Insights using Drone Imaginary,Delhi,Mumbai Angels Network,Private Equity,4200000.0,,,Medium
458,,Purplle,E-Commerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,4200000.0,,,Medium
459,,Cash Suvidha,E-Commerce,Online Micro-Lending Platform,Delhi,Undisclosed,Debt Funding,4200000.0,,,Medium
460,,Sky Met Weather,Technology,Weather Forecast Platform,Noida,InsuResillience Investment Fund,Private Equity,4200000.0,,,Medium
461,,Springboard,Technology,Online Courses and Mentoring from Experts,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,4200000.0,,,Medium
462,,Peel Works,Technology,SaaS based Big Data Analytics Platform,Mumbai,Unilever Ventures,Private Equity,4200000.0,,,Medium
463,,9Stacks,Technology,Online Poker Platform,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,4200000.0,,,Medium
464,,Your Quote,Technology,Vernacular and Video Content Platform,Bengaluru,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,4200000.0,,,Medium
465,,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,4200000.0,,,Medium
466,,Indus Os,Technology,Regional Operating System for Smartphones,Mumbai,Omidyar Network,Private Equity,4200000.0,,,Medium
467,,Easyecom,E-Commerce,Ecommerce enabler platform,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,4200000.0,,,Medium
468,,Igp.Com,E-Commerce,Online Gifting Platform,Uttar Pradesh,Venture Catalysts,Private Equity,4200000.0,,,Medium
469,,Specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,4200000.0,,,Medium
470,,Garage On Road,E-Commerce,Online vehicle service booking platform,Noida,Gaurav Gupta,Private Equity,4200000.0,,,Medium
471,,Foyr.Com,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,Jones Lang LaSalle,Private Equity,4200000.0,,,Medium
472,2017-02-11,Prest Loans,Finance,Business & SME Loans provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,4200000.0,,2017.0,Medium
473,2017-02-11,Aadharapi.Com,Technology,Aadhaar-based API provider,Pune,CIO Angel Network,Seed Funding,4200000.0,,2017.0,Medium
474,2017-02-11,Freshboxx,Ecommerce,Online Grocery Store,Bangalore,Jayant Humbarwadi,Seed Funding,4200000.0,,2017.0,Medium
475,2017-03-11,Vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,4200000.0,,2017.0,Medium
476,2017-03-11,Halaplay,Consumer Internet,Online Fantasy Games,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,4200000.0,,2017.0,Medium
477,2017-03-11,Kalpnik Technologies,Technology,VR based Spiritual platform,Bangalore,Venture Catalysts,Seed Funding,4200000.0,,2017.0,Medium
478,2017-04-11,Hevo Data,Technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,4200000.0,,2017.0,Medium
479,2017-06-11,Smart Karma,Technology,Financial Technology Research Platform,Bangalore,IDG Ventures India,Private Equity,4200000.0,,2017.0,Medium
480,2017-06-11,Leverage Edu,Ecommerce,Online platform for Higher Education Services,New Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,4200000.0,,2017.0,Medium
481,2017-07-11,Crayon Data,Technology,Customer Engagement Platform,New Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,4200000.0,,2017.0,Medium
482,2017-07-11,Doctalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,4200000.0,,2017.0,Medium
483,2017-07-11,Coveiot,Technology,Wearable tech and Internet of Things platform,Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,4200000.0,,2017.0,Medium
484,2017-08-11,Talentedge,Technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,4200000.0,,2017.0,Medium
485,2017-08-11,Fisdom,Finance,Mutual Fund Investment App,Bangalore,Quona Capital Management,Private Equity,4200000.0,,2017.0,Medium
486,2017-08-11,Farmlink,Ecommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,4200000.0,,2017.0,Medium
487,2017-08-11,Openapp,Technology,IoT based Tech Startup,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,4200000.0,,2017.0,Medium
488,2017-09-11,Nopaperforms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,4200000.0,,2017.0,Medium
489,2017-09-11,Tilite Technologies Pvt. Ltd,Technology,Saas based Corporate Travel Management Solution,Bangalore,Matrix Partners,Seed Funding,4200000.0,,2017.0,Medium
490,2017-09-11,Mobiliz Ar,Technology,Augmented Reality based Tech platform,Bangalore,"IDG Ventures, IDFC-Parampara Fund",Private Equity,4200000.0,,2017.0,Medium
491,2017-10-11,Qubole,Technology,Big Data based analytics platform,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,4200000.0,,2017.0,Medium
492,2017-10-11,Happily Unmarried,Ecommerce,Online Gifting platform,Nw Delhi,Wipro Consumer Care,Private Equity,4200000.0,,2017.0,Medium
493,,Universal Sportsbiz Pvt. Ltd,Ecommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,4200000.0,,,Medium
494,,Hungry Foal,Ecommerce,Healthy & Nutrition based snacks online platform,Gurgaon,GAIL India Ltd,Seed Funding,4200000.0,,,Medium
495,,Active Ai,Technology,AI based FinTech platform,Bangalore,Vertex Ventures,Private Equity,4200000.0,,,Medium
496,,Sumeru,Technology,Banking Software License Platform,Bangalore,Undisclosed Investors,Seed Funding,4200000.0,,,Medium
497,,Elderaid Wellness,Health Care,Social Healthcare Enterprise,Bangalore,Rugmini Menon,Angel Funding,4200000.0,,,Medium
498,,Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,4200000.0,,,Medium
499,,Josh Talks,Inspiration,Storytelling platform,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,4200000.0,,,Medium
500,,Reniso,Technology,End-to-End property management for landlords living away,New Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,4200000.0,,,Medium
501,,Kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,4200000.0,,,Medium
502,,Perspectico,Technology,Placement preparation and career growth training platform,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,4200000.0,,,Medium
503,,Onn Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,4200000.0,,,Medium
504,,Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,4200000.0,,,Medium
505,,Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,4200000.0,,,Medium
506,,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,4200000.0,,,Medium
507,,Redbook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,4200000.0,,,Medium
508,,Portea,Healthcare,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,4200000.0,,,Medium
509,,Credit Mate,Technology,Vehicle loan approval platform,Mumbai,Paytm,Private Equity,4200000.0,,,Medium
510,,Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,4200000.0,,,Medium
511,,Mistay,Technology,Online Hotel Reservation Platform,Bangalore,Axilor Ventures,Seed/Angel Funding,4200000.0,,,Medium
512,,Wittyfeed,Storytelling,Viral Content and storytelling platform,Indore,Sandeep Aggarwal,Seed/Angel Funding,4200000.0,,,Medium
513,,Idg Ventures,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,4200000.0,,,Medium
514,,Tempgo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,4200000.0,,,Medium
515,,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,4200000.0,,,Medium
516,,Era,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,4200000.0,,,Medium
517,,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,4200000.0,,,Medium
518,,Chumbak,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,4200000.0,,,Medium
519,,Fr8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,4200000.0,,,Medium
520,,Mobiefit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,4200000.0,,,Medium
521,,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,4200000.0,,,Medium
522,2017-03-10,Chqbook,Consumer Internet,Home Loans Aggregation platform,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,4200000.0,,2017.0,Medium
523,2017-03-10,Homecapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,Venture Catalysts,Seed Funding,4200000.0,,2017.0,Medium
524,2017-03-10,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,4200000.0,,2017.0,Medium
525,2017-04-10,Elanic,Consumer Internet,P2P platform for Fashion sales,Bangalore,Digital Garage,Seed Funding,4200000.0,,2017.0,Medium
526,2017-04-10,Collpoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding,4200000.0,,2017.0,Medium
527,2017-04-10,Phonepe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,4200000.0,,2017.0,Medium
528,2017-05-10,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,4200000.0,,2017.0,Medium
529,2017-05-10,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,4200000.0,,2017.0,Medium
530,2017-05-10,Zefo,Ecommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,4200000.0,,2017.0,Medium
531,2017-06-10,Yaantra,Ecommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,4200000.0,,2017.0,Medium
532,2017-06-10,Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,4200000.0,,2017.0,Medium
533,2017-06-10,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,4200000.0,,2017.0,Medium
534,2017-06-10,Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,4200000.0,,2017.0,Medium
535,2017-09-10,Agrowave,Technology,Agriculture Supply Chain management solutions,Gurgaon,Daffodil Software,Seed Funding,4200000.0,,2017.0,Medium
536,2017-09-10,Mygubbi,Ecommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,4200000.0,,2017.0,Medium
537,2017-09-10,Ibsfintech,Technology,Treasury Risk Management Solution,Bangalore,Shailesh Haribhakti,Seed Funding,4200000.0,,2017.0,Medium
538,2017-09-10,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bangalore,Aequs Group,Private Equity,4200000.0,,2017.0,Medium
539,2017-09-10,Onestepup,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,4200000.0,,2017.0,Medium
540,2017-09-10,Thirdwatch,Technology,AI-powered anti-fraud solutions,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,4200000.0,,2017.0,Medium
541,2017-10-10,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,4200000.0,,2017.0,Medium
542,2017-10-10,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,4200000.0,,2017.0,Medium
543,2017-11-10,Meesho,Ecommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,4200000.0,,2017.0,Medium
544,2017-11-10,Stanplus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,4200000.0,,2017.0,Medium
545,2017-12-10,Uclid,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,4200000.0,,2017.0,Medium
546,,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,4200000.0,,,Medium
547,,Gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,4200000.0,,,Medium
548,,Chaayos,Ecommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,4200000.0,,,Medium
549,,Krazybee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,4200000.0,,,Medium
550,,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,4200000.0,,,Medium
551,,Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,4200000.0,,,Medium
552,,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,4200000.0,,,Medium
553,,Hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",Private Equity,4200000.0,,,Medium
554,,Blackbuck,Logistics,B2B Logistics provider,Bangalore,Innoven Capital,Private Equity,4200000.0,,,Medium
555,,Lenden Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,4200000.0,,,Medium
556,,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,4200000.0,,,Medium
